"MAPPED_TRAIT_URI","n","weighted_n","nhits","weighted_nhits","weighted_attention_score_impact_factor","DISEASE_TRAIT","GBD term","EFO_number","Match_Type","GBD_TERM_NAME","MAPPED_TRAIT_NAME","GBD_TRAIT_URI","ATTENTION_TRAIT_URI","measure_id","measure_name","location_id","location_name","sex_id","sex_name","age_id","age_name","cause_id","metric_id","metric_name","year","DALY","upper","lower"
"hp0000023",31,10.7026177017978,2295,660.143446088795,77.9359365362102,"ICD10 K40: Inguinal hernia","Inguinal, femoral, and abdominal hernia","EFO 1","Identifier",NA,NA,NA,NA,2,"DALYs (Disability-Adjusted Life Years)",1,"Global",3,"Both",22,"All ages",531,1,"Number",2019,3354015.82769024,4247141.8208069,2610568.67259167
"hp0000202",9,3.83333333333333,62,38.5,17.25,"Orofacial cleft x maternal periconceptional smoking interaction (1df)","Orofacial clefts","EFO 1","Identifier",NA,NA,NA,NA,2,"DALYs (Disability-Adjusted Life Years)",1,"Global",3,"Both",22,"All ages",644,1,"Number",2019,529758.917494937,798419.686855191,362492.882315932
"hp0000572",1,0.00127877237851662,0,0,0.039386189258312,"Eye problems/disorders: Injury or trauma resulting in loss of vision (UKB data field 6148_3)","Blindness and vision loss","EFO 5","Identifier",NA,NA,NA,NA,2,"DALYs (Disability-Adjusted Life Years)",1,"Global",3,"Both",22,"All ages",981,1,"Number",2019,22559139.9146998,31740247.6593659,15566549.7690882
"hp0000989",8,0.340409207161125,1,0.333333333333333,2.11503836317136,"Pruritus in nonalcoholic steatohepatitis","Pruritus","EFO 1","Identifier",NA,NA,NA,NA,2,"DALYs (Disability-Adjusted Life Years)",1,"Global",3,"Both",22,"All ages",663,1,"Number",2019,785750.468222714,1405750.84632541,376081.721425607
"hp0002140",62,17.8941712006677,488,186.405721668512,315.614744892227,"Ischemic stroke","Ischemic stroke","EFO 1","Identifier",NA,NA,NA,NA,2,"DALYs (Disability-Adjusted Life Years)",1,"Global",3,"Both",22,"All ages",495,1,"Number",2019,63478271.560349,68986523.9782992,57827412.7107778
"hp0003419",8,0.00772946859903382,0,0,0.500869565217391,"ICD10 M54.5: Low back pain","Low back pain","EFO 2","Identifier",NA,NA,NA,NA,2,"DALYs (Disability-Adjusted Life Years)",1,"Global",3,"Both",22,"All ages",630,1,"Number",2019,63685119.7956481,85192922.2057247,44999198.0580267
"hp0012228",1,0.00127877237851662,0,0,0.039386189258312,"Tension headache (PheCode 306.9)","Tension-type headache","EFO 1","Identifier",NA,NA,NA,NA,2,"DALYs (Disability-Adjusted Life Years)",1,"Global",3,"Both",22,"All ages",548,1,"Number",2019,4541688.87827976,14981335.608253,1395545.97291138
"hp0030833",9,0.870058642692914,5,2.33333333333333,4.04587382779199,"Neck pain or shoulder pain","Neck pain","EFO 1","Identifier",NA,NA,NA,NA,2,"DALYs (Disability-Adjusted Life Years)",1,"Global",3,"Both",22,"All ages",631,1,"Number",2019,22081323.1348887,31726932.9173536,14508244.1589508
"hp0031456",5,1.06058109795991,2,2,6.60089781716529,"Ectopic pregnancy","Ectopic pregnancy","EFO 1","Identifier",NA,NA,NA,NA,2,"DALYs (Disability-Adjusted Life Years)",1,"Global",3,"Both",22,"All ages",374,1,"Number",2019,378027.523469731,440089.527690835,322546.424427599
"hp0040187",1,1,6,6,4.4,"Sepsis in extremely premature infants","Neonatal sepsis and other neonatal infections","EFO 1","Identifier",NA,NA,NA,NA,2,"DALYs (Disability-Adjusted Life Years)",1,"Global",3,"Both",22,"All ages",383,1,"Number",2019,24558388.8598791,29489763.0011959,20811234.995021
"hp0100716",27,1.59167377095766,213,71.1666666666667,11.8187212276215,"Self-harm x Caesarean-section interaction","Self-harm by other specified means","EFO 1","Identifier",NA,NA,NA,NA,2,"DALYs (Disability-Adjusted Life Years)",1,"Global",3,"Both",22,"All ages",723,1,"Number",2019,31855937.1382597,35102544.3448752,28702605.4183793
"mondo0000916",3,0.00321113952827508,0,0,0.16460358056266,"Intestinal infection (PheCode 8)","Other intestinal infectious diseases","EFO 1","Identifier",NA,NA,NA,NA,2,"DALYs (Disability-Adjusted Life Years)",1,"Global",3,"Both",22,"All ages",321,1,"Number",2019,111718.103779832,149243.711887419,79236.2271815233
"mondo0001187",16,6.6692242114237,26,9.5,26.5454390451833,"Recurrence-free survival in non-muscle-invasive bladder cancer","Bladder cancer","EFO 1","Identifier",NA,NA,NA,NA,2,"DALYs (Disability-Adjusted Life Years)",1,"Global",3,"Both",22,"All ages",474,1,"Number",2019,4392583.34143266,4702732.55495871,4090437.91547538
"mondo0001302",1,0.00510204081632653,0,0,0.0362244897959184,"Hypertensive heart disease (Union I11)","Hypertensive heart disease","EFO 1","Identifier",NA,NA,NA,NA,2,"DALYs (Disability-Adjusted Life Years)",1,"Global",3,"Both",22,"All ages",498,1,"Number",2019,21508001.8472555,23899879.0697191,16400050.8489481
"mondo0001627",14,3.10386473429952,146,36.7666666666667,23.2004347826087,"Parkinsonâ€™s disease progression to dementia","Alzheimer's disease and other dementias","EFO 3","Identifier",NA,NA,NA,NA,2,"DALYs (Disability-Adjusted Life Years)",1,"Global",3,"Both",22,"All ages",543,1,"Number",2019,25276988.8976091,54558243.139465,11204523.0262353
"mondo0001672",1,0.00127877237851662,0,0,0.039386189258312,"Cancer of bronchus; lung (PheCode 165.1)","Tracheal, bronchus, and lung cancer","EFO 2","Identifier",NA,NA,NA,NA,2,"DALYs (Disability-Adjusted Life Years)",1,"Global",3,"Both",22,"All ages",426,1,"Number",2019,45857963.4833524,49339875.979687,42297425.0708693
"mondo0002009",31,7.14497459062676,731,387.199242424242,72.7981413514022,"Major depressive disorder","Major depressive disorder","EFO 2","Identifier",NA,NA,NA,NA,2,"DALYs (Disability-Adjusted Life Years)",1,"Global",3,"Both",22,"All ages",568,1,"Number",2019,37202741.5325168,51217042.4249832,25650205.2527532
"mondo0002108",6,0.29456881566856,16,0.887445887445887,2.10280610267823,"Thyroid cancer","Thyroid cancer","EFO 1","Identifier",NA,NA,NA,NA,2,"DALYs (Disability-Adjusted Life Years)",1,"Global",3,"Both",22,"All ages",480,1,"Number",2019,1231841.04634915,1327064.39614117,1113585.391838
"mondo0002367",1,0.05,10,0.5,0.83,"Kidney cancer","Kidney cancer","EFO 1","Identifier",NA,NA,NA,NA,2,"DALYs (Disability-Adjusted Life Years)",1,"Global",3,"Both",22,"All ages",471,1,"Number",2019,4052816.97679916,4317487.00721643,3801041.39027855
"mondo0002406",7,0.0146466589713993,0,0,0.5225548287803,"Eczema or dermatitis","Dermatitis","EFO 4","Identifier",NA,NA,NA,NA,2,"DALYs (Disability-Adjusted Life Years)",1,"Global",3,"Both",22,"All ages",654,1,"Number",2019,10063791.4461079,15750929.6073631,5956892.76567542
"mondo0002462",4,0.0186046511627907,3,0.013953488372093,0.573023255813954,"Chronic glomerulonephritis","Chronic kidney disease due to glomerulonephritis","EFO 1","Identifier",NA,NA,NA,NA,2,"DALYs (Disability-Adjusted Life Years)",1,"Global",3,"Both",22,"All ages",592,1,"Number",2019,6900802.46997232,8125653.28323671,5777228.535598
"mondo0002691",1,0.00127877237851662,0,0,0.039386189258312,"Malignant neoplasm of liver, primary (PheCode 155.1)","Liver cancer","EFO 1","Identifier",NA,NA,NA,NA,2,"DALYs (Disability-Adjusted Life Years)",1,"Global",3,"Both",22,"All ages",417,1,"Number",2019,12528421.5026706,13687675.0713557,11400671.0646309
"mondo0002715",1,0.0714285714285714,3,0.214285714285714,0.507142857142857,"Uterine cancer","Uterine cancer","EFO 1","Identifier",NA,NA,NA,NA,2,"DALYs (Disability-Adjusted Life Years)",1,"Global",3,"Both",22,"All ages",435,1,"Number",2019,2329073.69721874,2560886.39782248,2092947.14225865
"mondo0002974",4,1.75,34,25,6.125,"Cervical cancer","Cervical cancer","EFO 1","Identifier",NA,NA,NA,NA,2,"DALYs (Disability-Adjusted Life Years)",1,"Global",3,"Both",22,"All ages",432,1,"Number",2019,8955012.77719185,9978462.20513284,7547733.10830661
"mondo0004247",13,2.66666666666667,126,31.7833333333333,51.1933333333333,"Alzheimer's disease or peptic ulcer disease","Peptic ulcer disease","EFO 1","Identifier",NA,NA,NA,NA,2,"DALYs (Disability-Adjusted Life Years)",1,"Global",3,"Both",22,"All ages",527,1,"Number",2019,6029509.85486479,6641773.45446142,5586597.71085379
"mondo0004627",2,0.00193236714975845,0,0,0.125217391304348,"ICD10 K29.8: Duodenitis (Gene-based burden)","Gastritis and duodenitis","EFO 4","Identifier",NA,NA,NA,NA,2,"DALYs (Disability-Adjusted Life Years)",1,"Global",3,"Both",22,"All ages",528,1,"Number",2019,2814889.68922215,3794394.81083754,2087791.29752457
"mondo0004647",3,0.00321113952827508,0,0,0.16460358056266,"Behaviour of cancer tumour: carcinoma in situ, PHESANT recoding (UKB data field 40012_2)","Other benign and in situ neoplasms","EFO 2","Identifier",NA,NA,NA,NA,2,"DALYs (Disability-Adjusted Life Years)",1,"Global",3,"Both",22,"All ages",967,1,"Number",2019,0,0,0
"mondo0004678",7,0.229205094422486,0,0,3.89794466403162,"Dermatophytosis","Fungal skin diseases","EFO 1","Identifier",NA,NA,NA,NA,2,"DALYs (Disability-Adjusted Life Years)",1,"Global",3,"Both",22,"All ages",659,1,"Number",2019,3224429.95092873,6784674.95958169,1322041.16201524
