"total_attention_score","Cause Name","Match_Type","measure_id","measure_name","location_id","location_name","sex_id","sex_name","age_id","age_name","cause_id","metric_id","metric_name","year","DALY","upper","lower"
578800,"Acne vulgaris","Identifier",2,"DALYs (Disability-Adjusted Life Years)",137,"North Africa and Middle East",3,"Both",22,"All ages",661,1,"Number",2021,431332.292263679,678630.046383416,268543.533591218
578800,"Acne vulgaris","Identifier",2,"DALYs (Disability-Adjusted Life Years)",94215,"Organization of Islamic Cooperation",3,"Both",22,"All ages",661,1,"Number",2021,1416112.66452761,2232017.02780012,881155.797494504
578800,"Acne vulgaris","Identifier",2,"DALYs (Disability-Adjusted Life Years)",103,"Latin America and Caribbean",3,"Both",22,"All ages",661,1,"Number",2021,314453.984964899,497497.57042059,193997.63335349
578800,"Acne vulgaris","Identifier",2,"DALYs (Disability-Adjusted Life Years)",31,"Central Europe, Eastern Europe, and Central Asia",3,"Both",22,"All ages",661,1,"Number",2021,118903.907219356,188702.804286522,74620.243375122
578800,"Acne vulgaris","Identifier",2,"DALYs (Disability-Adjusted Life Years)",166,"Sub-Saharan Africa",3,"Both",22,"All ages",661,1,"Number",2021,1112836.27327554,1766508.81718905,689611.250026896
578800,"Acne vulgaris","Identifier",2,"DALYs (Disability-Adjusted Life Years)",44586,"G20",3,"Both",22,"All ages",661,1,"Number",2021,2905737.14214361,4563396.3868538,1822516.19770816
578800,"Acne vulgaris","Identifier",2,"DALYs (Disability-Adjusted Life Years)",94216,"Association of Southeast Asian Nations",3,"Both",22,"All ages",661,1,"Number",2021,471830.409402555,748222.969718428,296875.277261823
578800,"Acne vulgaris","Identifier",2,"DALYs (Disability-Adjusted Life Years)",44534,"Commonwealth",3,"Both",22,"All ages",661,1,"Number",2021,1774043.80008536,2799415.91315539,1113669.20264292
578800,"Acne vulgaris","Identifier",2,"DALYs (Disability-Adjusted Life Years)",44587,"African Union",3,"Both",22,"All ages",661,1,"Number",2021,1293346.91034909,2047053.27601194,803264.32650991
578800,"Acne vulgaris","Identifier",2,"DALYs (Disability-Adjusted Life Years)",4,"Southeast Asia, East Asia, and Oceania",3,"Both",22,"All ages",661,1,"Number",2021,1374233.78508182,2155025.28610996,861006.348081509
578800,"Acne vulgaris","Identifier",2,"DALYs (Disability-Adjusted Life Years)",95471,"Health System Grouping Levels",3,"Both",22,"All ages",661,1,"Number",2021,5122027.63765642,8064401.94522484,3222831.34419675
578800,"Acne vulgaris","Identifier",2,"DALYs (Disability-Adjusted Life Years)",44642,"Nordic Region",3,"Both",22,"All ages",661,1,"Number",2021,22985.7461135496,35849.6542273781,14423.9019883624
578800,"Acne vulgaris","Identifier",2,"DALYs (Disability-Adjusted Life Years)",44590,"Four World Regions",3,"Both",22,"All ages",661,1,"Number",2021,5120331.92005001,8061690.63244954,3221746.14691089
578800,"Acne vulgaris","Identifier",2,"DALYs (Disability-Adjusted Life Years)",94217,"Gulf Cooperation Council",3,"Both",22,"All ages",661,1,"Number",2021,36984.4452501971,58768.9846680514,22836.3049543633
578800,"Acne vulgaris","Identifier",2,"DALYs (Disability-Adjusted Life Years)",44591,"World Bank Income Levels",3,"Both",22,"All ages",661,1,"Number",2021,5122014.87159341,8064382.01755928,3222823.36001451
578800,"Acne vulgaris","Identifier",2,"DALYs (Disability-Adjusted Life Years)",94366,"Sahel Region",3,"Both",22,"All ages",661,1,"Number",2021,348404.055548284,551118.199079953,215844.548839265
578800,"Acne vulgaris","Identifier",2,"DALYs (Disability-Adjusted Life Years)",158,"South Asia",3,"Both",22,"All ages",661,1,"Number",2021,1029357.39823966,1633088.85721908,642965.012366188
578800,"Acne vulgaris","Identifier",2,"DALYs (Disability-Adjusted Life Years)",478,"World Bank Regions",3,"Both",22,"All ages",661,1,"Number",2021,5121493.16737858,8063555.49880467,3222514.48552334
578800,"Acne vulgaris","Identifier",2,"DALYs (Disability-Adjusted Life Years)",44635,"High SDI",3,"Both",22,"All ages",661,1,"Number",2021,686623.593085987,1077589.55005549,427895.262849572
578800,"Acne vulgaris","Identifier",2,"DALYs (Disability-Adjusted Life Years)",44636,"Low-middle SDI",3,"Both",22,"All ages",661,1,"Number",2021,1248599.23177724,1972128.69584955,782847.779717387
578800,"Acne vulgaris","Identifier",2,"DALYs (Disability-Adjusted Life Years)",44584,"OECD Countries",3,"Both",22,"All ages",661,1,"Number",2021,871629.381810138,1370751.46037388,544302.207511324
578800,"Acne vulgaris","Identifier",2,"DALYs (Disability-Adjusted Life Years)",44634,"High-middle SDI",3,"Both",22,"All ages",661,1,"Number",2021,712698.076139068,1115497.42933022,447148.394243896
578800,"Acne vulgaris","Identifier",2,"DALYs (Disability-Adjusted Life Years)",44637,"Low SDI",3,"Both",22,"All ages",661,1,"Number",2021,968550.886965036,1546101.80097921,599145.232150217
578800,"Acne vulgaris","Identifier",2,"DALYs (Disability-Adjusted Life Years)",4743,"European Union",3,"Both",22,"All ages",661,1,"Number",2021,298714.788382804,464917.621129638,186577.182908446
578800,"Acne vulgaris","Identifier",2,"DALYs (Disability-Adjusted Life Years)",479,"WHO region",3,"Both",22,"All ages",661,1,"Number",2021,5107529.8337742,8042493.54478138,3213816.63580858
578800,"Acne vulgaris","Identifier",2,"DALYs (Disability-Adjusted Life Years)",44639,"Middle SDI",3,"Both",22,"All ages",661,1,"Number",2021,1505555.84968909,2357167.60315625,946288.945878181
578800,"Acne vulgaris","Identifier",2,"DALYs (Disability-Adjusted Life Years)",64,"High-income",3,"Both",22,"All ages",661,1,"Number",2021,744355.847822839,1168991.69563126,465164.056491957
307552,"Acute lymphoid leukemia","Identifier",2,"DALYs (Disability-Adjusted Life Years)",44584,"OECD Countries",3,"Both",22,"All ages",845,1,"Number",2021,468993.114388471,501693.496573046,436238.542282931
307552,"Acute lymphoid leukemia","Identifier",2,"DALYs (Disability-Adjusted Life Years)",44586,"G20",3,"Both",22,"All ages",845,1,"Number",2021,2101838.32023809,2498081.28850576,1468533.58107067
307552,"Acute lymphoid leukemia","Identifier",2,"DALYs (Disability-Adjusted Life Years)",137,"North Africa and Middle East",3,"Both",22,"All ages",845,1,"Number",2021,338002.487555768,432529.494013745,181113.291931069
307552,"Acute lymphoid leukemia","Identifier",2,"DALYs (Disability-Adjusted Life Years)",94216,"Association of Southeast Asian Nations",3,"Both",22,"All ages",845,1,"Number",2021,402134.315655021,490323.062021311,252794.951635577
307552,"Acute lymphoid leukemia","Identifier",2,"DALYs (Disability-Adjusted Life Years)",44534,"Commonwealth",3,"Both",22,"All ages",845,1,"Number",2021,926856.447082724,1153367.30764764,625456.207907599
307552,"Acute lymphoid leukemia","Identifier",2,"DALYs (Disability-Adjusted Life Years)",103,"Latin America and Caribbean",3,"Both",22,"All ages",845,1,"Number",2021,441348.412121874,496753.372986352,391475.248946356
307552,"Acute lymphoid leukemia","Identifier",2,"DALYs (Disability-Adjusted Life Years)",44636,"Low-middle SDI",3,"Both",22,"All ages",845,1,"Number",2021,870824.024086723,1055871.78936216,601961.237173441
307552,"Acute lymphoid leukemia","Identifier",2,"DALYs (Disability-Adjusted Life Years)",44587,"African Union",3,"Both",22,"All ages",845,1,"Number",2021,698023.43959566,891637.047159989,397699.995668738
307552,"Acute lymphoid leukemia","Identifier",2,"DALYs (Disability-Adjusted Life Years)",31,"Central Europe, Eastern Europe, and Central Asia",3,"Both",22,"All ages",845,1,"Number",2021,131201.312131784,142090.860760184,121181.629789667
307552,"Acute lymphoid leukemia","Identifier",2,"DALYs (Disability-Adjusted Life Years)",94215,"Organization of Islamic Cooperation",3,"Both",22,"All ages",845,1,"Number",2021,1014447.74577117,1213189.72649228,620641.972840293
307552,"Acute lymphoid leukemia","Identifier",2,"DALYs (Disability-Adjusted Life Years)",94217,"Gulf Cooperation Council",3,"Both",22,"All ages",845,1,"Number",2021,14968.3151470667,22978.9822855678,10248.4931535782
307552,"Acute lymphoid leukemia","Identifier",2,"DALYs (Disability-Adjusted Life Years)",158,"South Asia",3,"Both",22,"All ages",845,1,"Number",2021,623010.075128347,830912.482313516,432193.407176444
307552,"Acute lymphoid leukemia","Identifier",2,"DALYs (Disability-Adjusted Life Years)",94366,"Sahel Region",3,"Both",22,"All ages",845,1,"Number",2021,210629.208452118,282077.602050695,103281.384470269
307552,"Acute lymphoid leukemia","Identifier",2,"DALYs (Disability-Adjusted Life Years)",44634,"High-middle SDI",3,"Both",22,"All ages",845,1,"Number",2021,601531.080461298,722537.069852354,393728.746312489
307552,"Acute lymphoid leukemia","Identifier",2,"DALYs (Disability-Adjusted Life Years)",64,"High-income",3,"Both",22,"All ages",845,1,"Number",2021,251227.669758638,262046.794461681,240390.628289435
307552,"Acute lymphoid leukemia","Identifier",2,"DALYs (Disability-Adjusted Life Years)",95471,"Health System Grouping Levels",3,"Both",22,"All ages",845,1,"Number",2021,3716977.69484893,4350093.90968352,2585316.05054528
307552,"Acute lymphoid leukemia","Identifier",2,"DALYs (Disability-Adjusted Life Years)",44591,"World Bank Income Levels",3,"Both",22,"All ages",845,1,"Number",2021,3716975.65383424,4350091.45856668,2585314.60767206
307552,"Acute lymphoid leukemia","Identifier",2,"DALYs (Disability-Adjusted Life Years)",44590,"Four World Regions",3,"Both",22,"All ages",845,1,"Number",2021,3716078.444385,4349048.56260716,2584491.11102702
307552,"Acute lymphoid leukemia","Identifier",2,"DALYs (Disability-Adjusted Life Years)",166,"Sub-Saharan Africa",3,"Both",22,"All ages",845,1,"Number",2021,567977.17740761,739691.452530998,333107.562100164
307552,"Acute lymphoid leukemia","Identifier",2,"DALYs (Disability-Adjusted Life Years)",479,"WHO region",3,"Both",22,"All ages",845,1,"Number",2021,3711195.55518297,4344198.5040409,2579799.07433607
307552,"Acute lymphoid leukemia","Identifier",2,"DALYs (Disability-Adjusted Life Years)",478,"World Bank Regions",3,"Both",22,"All ages",845,1,"Number",2021,3716330.7087501,4349276.91768458,2584967.16253271
307552,"Acute lymphoid leukemia","Identifier",2,"DALYs (Disability-Adjusted Life Years)",44635,"High SDI",3,"Both",22,"All ages",845,1,"Number",2021,245748.764992341,263472.2965089,224991.091561651
307552,"Acute lymphoid leukemia","Identifier",2,"DALYs (Disability-Adjusted Life Years)",44639,"Middle SDI",3,"Both",22,"All ages",845,1,"Number",2021,1359320.61088615,1598676.84234426,931801.718709397
307552,"Acute lymphoid leukemia","Identifier",2,"DALYs (Disability-Adjusted Life Years)",4,"Southeast Asia, East Asia, and Oceania",3,"Both",22,"All ages",845,1,"Number",2021,1367009.54521426,1673212.32496362,817806.644491039
307552,"Acute lymphoid leukemia","Identifier",2,"DALYs (Disability-Adjusted Life Years)",4743,"European Union",3,"Both",22,"All ages",845,1,"Number",2021,95595.0750009139,101021.11660898,90493.1103686995
307552,"Acute lymphoid leukemia","Identifier",2,"DALYs (Disability-Adjusted Life Years)",44637,"Low SDI",3,"Both",22,"All ages",845,1,"Number",2021,639553.214422414,816989.260759118,402660.628625752
307552,"Acute lymphoid leukemia","Identifier",2,"DALYs (Disability-Adjusted Life Years)",44642,"Nordic Region",3,"Both",22,"All ages",845,1,"Number",2021,4968.60105931432,5333.31360240673,4654.07373613208
64120,"Acute myeloid leukemia","Identifier",2,"DALYs (Disability-Adjusted Life Years)",137,"North Africa and Middle East",3,"Both",22,"All ages",847,1,"Number",2021,422232.586146777,574872.007786215,309214.545470112
64120,"Acute myeloid leukemia","Identifier",2,"DALYs (Disability-Adjusted Life Years)",44584,"OECD Countries",3,"Both",22,"All ages",847,1,"Number",2021,1297480.0873626,1350308.93496268,1217943.55881591
64120,"Acute myeloid leukemia","Identifier",2,"DALYs (Disability-Adjusted Life Years)",44586,"G20",3,"Both",22,"All ages",847,1,"Number",2021,2768080.65556675,3190306.23205378,2397091.78081584
64120,"Acute myeloid leukemia","Identifier",2,"DALYs (Disability-Adjusted Life Years)",94216,"Association of Southeast Asian Nations",3,"Both",22,"All ages",847,1,"Number",2021,528438.610594494,652968.273257272,373561.128252196
64120,"Acute myeloid leukemia","Identifier",2,"DALYs (Disability-Adjusted Life Years)",44534,"Commonwealth",3,"Both",22,"All ages",847,1,"Number",2021,915892.027664199,1153628.57750842,699916.771204365
