"Terms_Only_in_Combined_Dataset","Terms_Only_in_GBD_Daly_Dataset"
"Other disorders of ear","Intestinal nematode infections"
"Disorders of the globe","Maternal sepsis and other maternal infections"
"Lassa fever","Cirrhosis due to other causes"
"Typhus fever","Other pneumoconiosis"
"Keratitis, corneal opacity and other disorders of cornea, disorders of conjunctiva, inflammation of eyelids, other disorders of eyelids, disorders of the lacrimal system, disorders of the orbit, disorders of optic nerve and visual pathways","Self-harm and interpersonal violence"
"Vertiginous syndromes and other disorders of vestibular system","Poisoning by other means"
"Disorders of external ear","Pulmonary aspiration and foreign body in airway"
"Intestinal nematode infections","Maternal and neonatal disorders"
"Maternal sepsis","Other leukemia"
"Pulmonary aspiration and foreign body in airway",NA
"Maternal and neonatal disorders",NA
"Relapsing fevers",NA
"Louse-borne relapsing fever",NA
"Tick-borne relapsing fever",NA
"Relapsing fever, unspecified",NA
"Lyme disease",NA
"Lyme disease, unspecified",NA
"Meningitis due to Lyme disease",NA
"Other neurologic disorders in Lyme disease",NA
"Arthritis due to Lyme disease",NA
"Other conditions associated with Lyme disease",NA
"Other specified spirochetal infections",NA
"Spirochetal infection, unspecified",NA
"Epidemic louse-borne typhus fever due to Rickettsia prowazekii",NA
"Recrudescent typhus [Brill’s disease]",NA
"Typhus fever due to Rickettsia typhi",NA
"Typhus fever due to Rickettsia tsutsugamushi",NA
"Typhus fever, unspecified",NA
"Spotted fever [tick-borne rickettsioses]",NA
"Spotted fever due to Rickettsia rickettsii",NA
"Spotted fever due to Rickettsia conorii",NA
"Spotted fever due to Rickettsia siberica",NA
"Spotted fever due to Rickettsia australis",NA
"Ehrlichiosis",NA
"Ehrlichiosis, unspecified",NA
"Ehrlichiosis chafeensis [E. chafeensis]",NA
"Other ehrlichiosis",NA
"Other spotted fevers",NA
"Spotted fever, unspecified",NA
"Q fever",NA
"Other rickettsioses",NA
"Trench fever",NA
"Rickettsial pox due to Rickettsia akari",NA
"Other specified rickettsioses",NA
"Rickettsiosis due to Ehrlichia sennetsu",NA
"Rickettsiosis, unspecified",NA
"Other mosquito-borne viral fevers",NA
"Chikungunya virus disease",NA
"O’nyong-nyong fever",NA
"Venezuelan equine fever",NA
"West Nile virus infection",NA
"West Nile virus infection, unspecified",NA
"West Nile virus infection with encephalitis",NA
"West Nile virus infection with other neurologic manifestation",NA
"West Nile virus infection with other complications",NA
"Rift Valley fever",NA
"Other specified mosquito-borne viral fevers",NA
"Mosquito-borne viral fever, unspecified",NA
"Other arthropod-borne viral fevers, not elsewhere classified",NA
"Oropouche virus disease",NA
"Sandfly fever",NA
"Colorado tick fever",NA
"Other specified arthropod-borne viral fevers",NA
"Unspecified arthropod-borne viral fever",NA
"Arenaviral hemorrhagic fever",NA
"Junin hemorrhagic fever",NA
"Machupo hemorrhagic fever",NA
"Other arenaviral hemorrhagic fevers",NA
"Arenaviral hemorrhagic fever, unspecified",NA
"Other viral hemorrhagic fevers, not elsewhere classified",NA
"Crimean-Congo hemorrhagic fever",NA
"Omsk hemorrhagic fever",NA
"Kyasanur Forest disease",NA
"Marburg virus disease",NA
"Hemorrhagic fever with renal syndrome",NA
"Other specified viral hemorrhagic fevers",NA
"Epidemic myalgia",NA
"Ross River disease",NA
"Other protozoal diseases, not elsewhere classified",NA
"Babesiosis",NA
"Acanthamebiasis",NA
"Acanthamebiasis, unspecified",NA
"Meningoencephalitis due to Acanthamoeba (culbertsoni)",NA
"Conjunctivitis due to Acanthamoeba",NA
"Keratoconjunctivitis due to Acanthamoeba",NA
"Other acanthamebic disease",NA
"Naegleriasis",NA
"Other specified protozoal diseases",NA
"Echinococcus multilocularis infection of liver",NA
"Echinococcus multilocularis infection, other and multiple sites",NA
"Echinococcus multilocularis infection, multiple sites",NA
"Echinococcus multilocularis infection, other sites",NA
"Echinococcus multilocularis infection, unspecified",NA
"Diphyllobothriasis and sparganosis",NA
"Diphyllobothriasis",NA
"Sparganosis",NA
"Other cestode infections",NA
"Hymenolepiasis",NA
"Dipylidiasis",NA
"Other specified cestode infections",NA
"Cestode infection, unspecified",NA
"Loiasis",NA
"Mansonelliasis",NA
"Other filariases",NA
"Filariasis, unspecified",NA
"Trichinellosis",NA
"Other helminthiases",NA
"Visceral larva migrans",NA
"Gnathostomiasis",NA
"Angiostrongyliasis due to Parastrongylus cantonensis",NA
"Syngamiasis",NA
"Internal hirudiniasis",NA
"Other specified helminthiases",NA
"Congenital toxoplasmosis",NA
"Other diseases of conjunctiva due to viruses and chlamydiae",NA
"Disorders of iris and ciliary body",NA
"Other disorders of eye",NA
"abortion and miscarriage",NA
"ectopic pregnancy;",NA
"obstructed labour and uterine rupture;",NA
"maternal haemorrhage",NA
"maternal sepsis and other maternal infections (any maternal infections excluding HIV,
sexually-transmitted infections, or are not believed to have epidemiological relationship
with pregnancy. Examples include urinary tract infections, mastitis, candidiasis, and
bacterial vaginosis during pregnancy )",NA
"other maternal infections",NA
"maternal hypertensive disorders;",NA
"other [direct] maternal disorders.",NA
