"GBD term","EFO_number","MAPPED_TRAIT_URI","GBD_TERM_NAME"
"Larynx cancer","EFO 1","mondo0002352","larynx cancer"
"Tracheal, bronchus, and lung cancer","EFO 1","mondo0001407","tracheal bronchus and lung cancer"
"Colon and rectum cancer","EFO 2","hp0003003","colon and rectum cancer"
"Lip and oral cavity cancer","EFO 2","efo1001019","lip and oral cavity cancer"
"Nasopharynx cancer","EFO 1","mondo0021315","nasopharynx cancer"
"Leishmaniasis","EFO 1","efo0005044","leishmaniasis"
"African trypanosomiasis","EFO 1","efo0005225","african trypanosomiasis"
"Schistosomiasis","EFO 1","efo1001475","schistosomiasis"
"Cysticercosis","EFO 1","efo0007231","cysticercosis"
"Cystic echinococcosis","EFO 1","mondo0018408","cystic echinococcosis"
"Yellow fever","EFO 1","mondo0020502","yellow fever"
"Rabies","EFO 1","mondo0019173","rabies"
"Ascariasis","EFO 1","efo0007154","ascariasis"
"Maternal hemorrhage","EFO 1","ncitc157916","maternal hemorrhage"
"Maternal obstructed labor and uterine rupture","EFO 1","ncitc157939","maternal obstructed labor and uterine rupture"
"Maternal sepsis","EFO 1","ncitc157917","maternal sepsis"
"Ectopic pregnancy","EFO 2","go009748","ectopic pregnancy"
"Acute hepatitis C","EFO 1","mondo0100371","acute hepatitis c"
"Acute hepatitis E","EFO 1","ncitc157783","acute hepatitis e"
"Stomach cancer","EFO 1","hp0012126","stomach cancer"
"Paratyphoid fever","EFO 1","ordo443227","paratyphoid fever"
"Gallbladder and biliary tract cancer","EFO 1","doid4607","gallbladder and biliary tract cancer"
"Pancreatic cancer","EFO 1","doid1793","pancreatic cancer"
"Brain and central nervous system cancer","EFO 1","mondo0002714","brain and central nervous system cancer"
"Urolithiasis","EFO 1","ncitc114688","urolithiasis"
"Protein-energy malnutrition","EFO 1","efo0009563","proteinenergy malnutrition"
"Syphilis","EFO 1","efo0007504","syphilis"
"Chlamydial infection","EFO 1","ncitc34463","chlamydial infection"
"Gonococcal infection","EFO 1","ncitc35730","gonococcal infection"
"Acute hepatitis B","EFO 1","mondo0100370","acute hepatitis b"
"Diphtheria","EFO 2","ncitc34541","diphtheria"
"Liver cancer","EFO 2","doid3571","liver cancer"
"Motor neuron disease","EFO 1","efo0003782","motor neuron disease"
"Thalassemias","EFO 1","efo1001996","thalassemias"
"G6PD deficiency","EFO 1","efo0007287","g6pd deficiency"
"Myocarditis","EFO 2","mondo0004496","myocarditis"
"Rheumatic heart disease","EFO 2","mondo0006955","rheumatic heart disease"
"Silicosis","EFO 1","efo0007485","silicosis"
"Asbestosis","EFO 1","efo0007153","asbestosis"
"Coal workers pneumoconiosis","EFO 1","nomed29422001","coal workers pneumoconiosis"
"Interstitial lung disease and pulmonary sarcoidosis","EFO 2","ncitc164315","interstitial lung disease and pulmonary sarcoidosis"
"Bulimia nervosa","EFO 2","mondo0005452","bulimia nervosa"
"Acute glomerulonephritis","EFO 1","ncitc35213","acute glomerulonephritis"
"Chronic kidney disease due to hypertension","EFO 1","nomed104931000119100","chronic kidney disease due to hypertension"
"Interpersonal violence","EFO 1","go003008","interpersonal violence"
"Varicella and herpes zoster","EFO 2","mondo0005609","varicella and herpes zoster"
"Typhoid and paratyphoid","EFO 1","efo0007420","typhoid and paratyphoid"
"Invasive Non-typhoidal Salmonella (iNTS)","EFO 1","mondo0017944","invasive nontyphoidal salmonella ints"
"Diabetes mellitus type 1","EFO 1","hp0100651","diabetes mellitus type 1"
"Ebola","EFO 1","efo0007243","ebola"
"Acute lymphoid leukemia","EFO 2","hp0006721","acute lymphoid leukemia"
"Chronic lymphoid leukemia","EFO 2","ncitc3163","chronic lymphoid leukemia"
"Acute myeloid leukemia","EFO 2","mondo0018874","acute myeloid leukemia"
"Non-melanoma skin cancer (squamous-cell carcinoma)","EFO 2","mondo0005096","nonmelanoma skin cancer squamouscell carcinoma"
"Zika virus","EFO 1","omit0001516","zika virus"
"Alcoholic cardiomyopathy","EFO 1","efo1000801","alcoholic cardiomyopathy"
"Conflict and terrorism","EFO 1","omit0020973","conflict and terrorism"
"Gastritis and duodenitis","EFO 2","mondo0004966","gastritis and duodenitis"
"Appendicitis","EFO 2","mondo0005649","appendicitis"
"Drowning","EFO 1","omit0005588","drowning"
"Poisoning by carbon monoxide","EFO 1","mondo0800373","poisoning by carbon monoxide"
"Subarachnoid hemorrhage","EFO 2","hp0002138","subarachnoid hemorrhage"
