"MAPPED_TRAIT_URI","n","weighted_n","nhits","weighted_nhits","weighted_attention_score_impact_factor","DISEASE_TRAIT","GBD term","EFO_number"
"hp0000023",31,10.7026177017978,2295,660.143446088795,77.9359365362102,"ICD10 K40: Inguinal hernia","Inguinal, femoral, and abdominal hernia","EFO 1"
"hp0000202",9,3.83333333333333,62,38.5,17.25,"Orofacial cleft x maternal periconceptional smoking interaction (1df)","Orofacial clefts","EFO 1"
"hp0000572",1,0.00127877237851662,0,0,0.039386189258312,"Eye problems/disorders: Injury or trauma resulting in loss of vision (UKB data field 6148_3)","Blindness and vision loss","EFO 5"
"hp0000989",8,0.340409207161125,1,0.333333333333333,2.11503836317136,"Pruritus in nonalcoholic steatohepatitis","Pruritus","EFO 1"
"hp0002140",62,17.8941712006677,488,186.405721668512,315.614744892227,"Ischemic stroke","Ischemic stroke","EFO 1"
"hp0003419",8,0.00772946859903382,0,0,0.500869565217391,"ICD10 M54.5: Low back pain","Low back pain","EFO 2"
"hp0012228",1,0.00127877237851662,0,0,0.039386189258312,"Tension headache (PheCode 306.9)","Tension-type headache","EFO 1"
"hp0030833",9,0.870058642692914,5,2.33333333333333,4.04587382779199,"Neck pain or shoulder pain","Neck pain","EFO 1"
"hp0031456",5,1.06058109795991,2,2,6.60089781716529,"Ectopic pregnancy","Ectopic pregnancy","EFO 1"
"hp0040187",1,1,6,6,4.4,"Sepsis in extremely premature infants","Neonatal sepsis and other neonatal infections","EFO 1"
"hp0100716",27,1.59167377095766,213,71.1666666666667,11.8187212276215,"Self-harm x Caesarean-section interaction","Self-harm by other specified means","EFO 1"
"mondo0000916",3,0.00321113952827508,0,0,0.16460358056266,"Intestinal infection (PheCode 8)","Other intestinal infectious diseases","EFO 1"
"mondo0001187",16,6.6692242114237,26,9.5,26.5454390451833,"Recurrence-free survival in non-muscle-invasive bladder cancer","Bladder cancer","EFO 1"
"mondo0001302",1,0.00510204081632653,0,0,0.0362244897959184,"Hypertensive heart disease (Union I11)","Hypertensive heart disease","EFO 1"
"mondo0001627",14,3.10386473429952,146,36.7666666666667,23.2004347826087,"Parkinsonâ€™s disease progression to dementia","Alzheimer's disease and other dementias","EFO 3"
"mondo0001672",1,0.00127877237851662,0,0,0.039386189258312,"Cancer of bronchus; lung (PheCode 165.1)","Tracheal, bronchus, and lung cancer","EFO 2"
"mondo0002009",31,7.14497459062676,731,387.199242424242,72.7981413514022,"Major depressive disorder","Major depressive disorder","EFO 2"
"mondo0002108",6,0.29456881566856,16,0.887445887445887,2.10280610267823,"Thyroid cancer","Thyroid cancer","EFO 1"
"mondo0002367",1,0.05,10,0.5,0.83,"Kidney cancer","Kidney cancer","EFO 1"
"mondo0002406",7,0.0146466589713993,0,0,0.5225548287803,"Eczema or dermatitis","Dermatitis","EFO 4"
"mondo0002462",4,0.0186046511627907,3,0.013953488372093,0.573023255813954,"Chronic glomerulonephritis","Chronic kidney disease due to glomerulonephritis","EFO 1"
"mondo0002691",1,0.00127877237851662,0,0,0.039386189258312,"Malignant neoplasm of liver, primary (PheCode 155.1)","Liver cancer","EFO 1"
"mondo0002715",1,0.0714285714285714,3,0.214285714285714,0.507142857142857,"Uterine cancer","Uterine cancer","EFO 1"
"mondo0002974",4,1.75,34,25,6.125,"Cervical cancer","Cervical cancer","EFO 1"
"mondo0004247",13,2.66666666666667,126,31.7833333333333,51.1933333333333,"Alzheimer's disease or peptic ulcer disease","Peptic ulcer disease","EFO 1"
"mondo0004627",2,0.00193236714975845,0,0,0.125217391304348,"ICD10 K29.8: Duodenitis (Gene-based burden)","Gastritis and duodenitis","EFO 4"
"mondo0004647",3,0.00321113952827508,0,0,0.16460358056266,"Behaviour of cancer tumour: carcinoma in situ, PHESANT recoding (UKB data field 40012_2)","Other benign and in situ neoplasms","EFO 2"
"mondo0004678",7,0.229205094422486,0,0,3.89794466403162,"Dermatophytosis","Fungal skin diseases","EFO 1"
"mondo0004979",163,70.07930326325,2530,1367.44863157686,1503.40614061477,"Bronchial hyperresponsiveness in asthma","Asthma","EFO 2"
"mondo0004985",122,51.5709584887974,1483,565.166666666667,587.26529198636,"Bipolar disorder","Bipolar disorder","EFO 1"
"mondo0005041",47,11.3401316895188,356,209.110472648783,152.466837652122,"ICD10 H40: Glaucoma","Glaucoma","EFO 1"
"mondo0005090",168,82.7729139514418,5079,3741.17434813249,1308.24152229104,"Cognitive ability, years of educational attainment or schizophrenia (pleiotropy)","Schizophrenia","EFO 4"
"mondo0005129",49,6.16204172038028,201,132.883610781455,62.7726763658379,"Cataract (time to event)","Cataract","EFO 4"
"mondo0005148",238,135.295524525948,5501,3478.65328770357,2269.50660605095,"Alzheimer's disease or cardiovascular risk factors (pleiotropy)","Diabetes mellitus type 2","EFO 1"
"mondo0005178",90,32.6181259446757,527,389.642948717949,992.99616576601,"Osteoarthritis","Osteoarthritis","EFO 1"
"mondo0005180",83,52.4368568144896,698,605.813223894209,855.930472479806,"Parkinson's disease","Parkinson's disease","EFO 1"
"mondo0005277",48,20.8180954693256,732,413.477124183007,233.975589781892,"Migraine","Migraine","EFO 3"
"mondo0005301",62,30.7821906945308,774,697.911764705882,738.239193926298,"Multiple sclerosis","Multiple sclerosis","EFO 1"
"mondo0005351",25,8.37475218018696,253,59.9136363636364,131.974363354037,"Anorexia nervosa","Anorexia nervosa","EFO 1"
"mondo0007254",27,7.13900630080754,266,51.6712121212121,45.5138265978328,"Breast cancer","Breast cancer","EFO 1"
"mondo0008315",9,3.92050298380222,252,62.0884484228474,41.4848252344416,"Conversion from active surveillance to active treatment in prostate cancer","Prostate cancer","EFO 1"
